timestamp_unix,timestamp_iso,price
1771462828,2026-02-19T01:00:28+00:00,0.485
1771466429,2026-02-19T02:00:29+00:00,0.35
1771470047,2026-02-19T03:00:47+00:00,0.38
1771473628,2026-02-19T04:00:28+00:00,0.515
1771477229,2026-02-19T05:00:29+00:00,0.57
1771484428,2026-02-19T07:00:28+00:00,0.58
1771488028,2026-02-19T08:00:28+00:00,0.58
1771491652,2026-02-19T09:00:52+00:00,0.58
1771495230,2026-02-19T10:00:30+00:00,0.58
1771498830,2026-02-19T11:00:30+00:00,0.615
1771506028,2026-02-19T13:00:28+00:00,0.61
1771509630,2026-02-19T14:00:30+00:00,0.61
1771513251,2026-02-19T15:00:51+00:00,0.625
1771516833,2026-02-19T16:00:33+00:00,0.685
1771520454,2026-02-19T17:00:54+00:00,0.575
1771524052,2026-02-19T18:00:52+00:00,0.615
1771527631,2026-02-19T19:00:31+00:00,0.755
1771531231,2026-02-19T20:00:31+00:00,0.475
1771534853,2026-02-19T21:00:53+00:00,0.485
1771538431,2026-02-19T22:00:31+00:00,0.485
1771542030,2026-02-19T23:00:30+00:00,0.5
1771545656,2026-02-20T00:00:56+00:00,0.495
1771549237,2026-02-20T01:00:37+00:00,0.535
1771552825,2026-02-20T02:00:25+00:00,0.53
1771556453,2026-02-20T03:00:53+00:00,0.53
1771560024,2026-02-20T04:00:24+00:00,0.56
1771563623,2026-02-20T05:00:23+00:00,0.51
1771567245,2026-02-20T06:00:45+00:00,0.495
1771570824,2026-02-20T07:00:24+00:00,0.495
1771574425,2026-02-20T08:00:25+00:00,0.52
1771578037,2026-02-20T09:00:37+00:00,0.515
1771581625,2026-02-20T10:00:25+00:00,0.515
1771585225,2026-02-20T11:00:25+00:00,0.515
1771588834,2026-02-20T12:00:34+00:00,0.48
1771592454,2026-02-20T13:00:54+00:00,0.545
1771596023,2026-02-20T14:00:23+00:00,0.555
1771599632,2026-02-20T15:00:32+00:00,0.56
1771603259,2026-02-20T16:00:59+00:00,0.535
1771606852,2026-02-20T17:00:52+00:00,0.5
1771610432,2026-02-20T18:00:32+00:00,0.47
1771614032,2026-02-20T19:00:32+00:00,0.465
1771617627,2026-02-20T20:00:27+00:00,0.53
1771621232,2026-02-20T21:00:32+00:00,0.515
1771624827,2026-02-20T22:00:27+00:00,0.535
1771628426,2026-02-20T23:00:26+00:00,0.56
1771632037,2026-02-21T00:00:37+00:00,0.555
