Date,Open,High,Low,Close,Volume,TurnoverValue
2026-02-10,1181.0,1195.5,1174.0,1195.5,2365300.0,2810937950.0
2026-02-12,1199.0,1228.0,1197.0,1225.0,2414100.0,2936000800.0
2026-02-13,1221.0,1225.0,1198.5,1198.5,1999200.0,2410947850.0
2026-02-16,1226.5,1238.5,1220.0,1231.5,2192500.0,2694514850.0
2026-02-17,1240.0,1254.5,1230.0,1243.0,2085000.0,2587994100.0
2026-02-18,1249.0,1283.0,1243.5,1278.0,2645000.0,3363095650.0
2026-02-19,1299.5,1323.0,1297.5,1322.0,4751000.0,6226010050.0
2026-02-20,1318.5,1320.0,1280.0,1301.0,3898600.0,5047180450.0
2026-02-24,1305.0,1307.0,1276.0,1294.0,2746400.0,3561459400.0
2026-02-25,1293.5,1294.0,1240.5,1244.5,2968100.0,3720679950.0
2026-02-26,1260.0,1274.5,1255.5,1272.0,1899700.0,2409585650.0
2026-02-27,1273.0,1298.0,1267.5,1295.5,2026400.0,2612292500.0
