Date,Open,High,Low,Close,Volume,TurnoverValue
2026-02-10,968.0,989.5,966.0,975.3,6681300.0,6536101740.0
2026-02-12,950.1,983.0,946.0,975.4,8771400.0,8523598130.0
2026-02-13,990.0,1006.0,963.0,977.3,14351300.0,14057728380.0
2026-02-16,962.3,969.2,937.0,968.4,8025300.0,7726204610.0
2026-02-17,972.4,975.6,951.3,952.9,6220400.0,5964741930.0
2026-02-18,953.0,967.4,950.8,956.4,7706500.0,7380320260.0
2026-02-19,960.0,988.3,954.0,985.4,9968400.0,9731342420.0
2026-02-20,990.0,1007.0,980.8,1005.0,12953400.0,12955094910.0
2026-02-24,1016.0,1034.0,1008.5,1023.5,11250200.0,11520062250.0
2026-02-25,1019.0,1041.0,1003.5,1036.0,9248000.0,9505183450.0
2026-02-26,1032.5,1035.5,1017.5,1017.5,9048900.0,9265416950.0
2026-02-27,1048.5,1048.5,1025.0,1040.0,16140800.0,16774528250.0
