Date,Code,Time,SessionDistinction,Price,TradingVolume,TransactionId
2026-02-24,95060,09:00:00.057002,01,1305,208200,000000000100
2026-02-24,95060,09:00:00.138432,01,1305,100,000000000265
2026-02-24,95060,09:00:00.343247,01,1305,100,000000000267
2026-02-24,95060,09:00:01.055143,01,1305,300,000000000269
2026-02-24,95060,09:00:01.288196,01,1305,1400,000000000271
2026-02-24,95060,09:00:01.289508,01,1305,400,000000000273
2026-02-24,95060,09:00:01.513476,01,1306,100,000000000275
2026-02-24,95060,09:00:01.691305,01,1303,400,000000000277
2026-02-24,95060,09:00:05.731113,01,1304.5,100,000000000279
2026-02-24,95060,09:00:06.479362,01,1304.5,400,000000000281
2026-02-24,95060,09:00:06.481691,01,1304.5,400,000000000283
2026-02-24,95060,09:00:06.675455,01,1304,200,000000000285
2026-02-24,95060,09:00:07.700156,01,1304,800,000000000287
2026-02-24,95060,09:00:07.703480,01,1304.5,500,000000000289
2026-02-24,95060,09:00:07.958023,01,1304,200,000000000293
2026-02-24,95060,09:00:10.499200,01,1303,200,000000000296
2026-02-24,95060,09:00:10.803247,01,1303.5,100,000000000298
2026-02-24,95060,09:00:13.510790,01,1303,100,000000000300
2026-02-24,95060,09:00:14.524395,01,1302.5,200,000000000303
2026-02-24,95060,09:00:18.598691,01,1302,100,000000000305
2026-02-24,95060,09:00:18.599369,01,1302,100,000000000307
2026-02-24,95060,09:00:18.605745,01,1301.5,1000,000000000313
2026-02-24,95060,09:00:18.614734,01,1301,200,000000000316
2026-02-24,95060,09:00:18.616729,01,1301,400,000000000320
2026-02-24,95060,09:00:19.593903,01,1302,100,000000000322
2026-02-24,95060,09:00:19.595829,01,1301,100,000000000324
2026-02-24,95060,09:00:21.436663,01,1301.5,100,000000000326
2026-02-24,95060,09:00:21.519282,01,1303.5,1200,000000000337
2026-02-24,95060,09:00:21.519282,01,1304,900,000000000343
2026-02-24,95060,09:00:21.519282,01,1304.5,1100,000000000348
2026-02-24,95060,09:00:21.519282,01,1305,700,000000000354
2026-02-24,95060,09:00:21.519282,01,1302.5,600,000000000328
2026-02-24,95060,09:00:21.519282,01,1303,300,000000000333
2026-02-24,95060,09:00:22.445662,01,1304,100,000000000359
2026-02-24,95060,09:00:23.459643,01,1304,100,000000000361
2026-02-24,95060,09:00:23.940889,01,1303,200,000000000363
2026-02-24,95060,09:00:24.476151,01,1303.5,100,000000000365
2026-02-24,95060,09:00:26.242134,01,1301,100,000000000367
2026-02-24,95060,09:00:26.243082,01,1301,300,000000000371
2026-02-24,95060,09:00:28.564775,01,1300.5,700,000000000378
2026-02-24,95060,09:00:30.876044,01,1300,2400,000000000391
2026-02-24,95060,09:00:30.884129,01,1299.5,800,000000000394
2026-02-24,95060,09:00:30.896610,01,1300,100,000000000396
